test_size,random_state,optimizer,neuro_4,neuro_3,neuro_2,neuro_1,n_layers,dropout_n,dropout,batch_size,EPOCHS,LOSS,ACCURACY
0.2,0,rmsprop,32,64,128,512,3,0.5,False,32,10,0.8050838708877563,0.7699999809265137
0.4,42,rmsprop,64,32,256,256,2,0.25,True,32,10,0.7962930798530579,0.7200000286102295
0.3,99,rmsprop,64,64,64,512,3,0.25,False,32,10,0.862395703792572,0.7366666793823242
0.3,0,adam,16,128,256,128,3,0.5,True,32,10,1.1353117227554321,0.6333333253860474
0.4,0,adam,16,32,256,256,4,0.5,False,32,10,0.8416453003883362,0.7400000095367432
0.2,42,adam,64,128,256,512,3,0.5,False,32,10,1.2073235511779785,0.7300000190734863
0.4,0,rmsprop,16,64,128,128,3,0.25,True,32,10,0.8930495977401733,0.7124999761581421
0.3,42,rmsprop,16,128,128,256,2,0.25,True,32,10,0.7658922076225281,0.753333330154419
0.2,42,adam,16,32,64,512,3,0.25,True,32,10,0.8308119177818298,0.7450000047683716
0.3,0,adam,32,128,256,256,2,0.5,True,32,10,0.7840997576713562,0.753333330154419
0.2,99,adam,32,64,64,256,3,0.5,True,32,10,1.3418048620224,0.5699999928474426
0.4,0,rmsprop,64,128,128,512,3,0.25,True,32,10,0.7699276208877563,0.7400000095367432
0.2,0,rmsprop,32,32,128,128,2,0.25,True,32,10,0.8298732042312622,0.7250000238418579
0.2,0,rmsprop,16,128,256,128,3,0.25,True,32,10,0.7643264532089233,0.7649999856948853
0.3,99,adam,32,128,128,512,2,0.25,True,32,10,0.8049671649932861,0.7233333587646484
0.2,0,adam,16,64,128,512,3,0.25,False,32,10,0.9514055848121643,0.7549999952316284
0.3,0,rmsprop,64,128,64,256,4,0.25,True,32,10,0.9150567650794983,0.7166666388511658
0.4,0,adam,16,32,64,512,4,0.25,True,32,10,1.2412859201431274,0.6299999952316284
0.2,42,rmsprop,32,64,256,512,2,0.5,False,32,10,1.0547730922698975,0.7400000095367432
0.3,99,adam,64,64,256,128,3,0.25,False,32,10,0.8908811211585999,0.7300000190734863
0.4,99,adam,64,32,64,128,2,0.25,False,32,10,0.8872922658920288,0.6924999952316284
0.2,0,rmsprop,16,32,128,512,4,0.5,True,32,10,1.8088715076446533,0.4749999940395355
0.2,0,adam,16,32,256,256,3,0.25,False,32,10,0.8070096373558044,0.7549999952316284
0.4,0,adam,64,64,64,128,2,0.5,True,64,10,1.3956164121627808,0.5699999928474426
0.2,0,adam,32,64,64,128,2,0.25,True,64,10,0.9414398074150085,0.7149999737739563
0.4,42,adam,16,32,256,256,3,0.25,True,64,10,0.9617478251457214,0.6899999976158142
0.3,0,adam,32,32,64,512,3,0.25,False,64,10,0.7707002758979797,0.7433333396911621
0.2,42,rmsprop,64,64,128,512,2,0.25,False,64,10,0.8259121775627136,0.7400000095367432
0.4,99,adam,16,64,256,256,4,0.5,True,64,10,2.0900111198425293,0.32749998569488525
0.2,99,adam,64,128,256,512,2,0.25,True,64,10,0.6699972748756409,0.7799999713897705
0.4,99,rmsprop,16,128,256,256,2,0.25,True,64,10,0.8454017639160156,0.7049999833106995
0.4,0,adam,16,32,128,128,3,0.25,True,64,10,1.1491482257843018,0.6025000214576721
0.2,99,rmsprop,16,128,256,256,2,0.5,False,64,10,0.6479126811027527,0.7549999952316284
0.4,42,rmsprop,16,128,64,128,2,0.5,False,64,10,0.9486721754074097,0.675000011920929
0.2,99,rmsprop,16,64,256,512,4,0.25,True,64,10,0.8142432570457458,0.7400000095367432
0.3,99,rmsprop,32,64,128,128,4,0.25,True,128,10,1.3509347438812256,0.5266666412353516
0.4,0,adam,32,32,64,512,2,0.25,False,128,10,0.8138027787208557,0.7250000238418579
0.2,99,adam,64,64,128,256,3,0.25,True,128,10,0.9515765309333801,0.6650000214576721
0.3,42,rmsprop,64,32,64,256,4,0.25,False,128,10,0.9593583345413208,0.6800000071525574
0.3,42,rmsprop,16,64,256,128,2,0.25,False,128,10,0.9094390869140625,0.7066666483879089
0.4,42,rmsprop,64,64,128,128,3,0.5,True,128,10,1.7281733751296997,0.41999998688697815
0.3,0,adam,32,64,256,512,3,0.25,True,128,10,0.8170981407165527,0.75
0.4,0,adam,64,128,128,512,4,0.25,True,128,10,1.0816195011138916,0.6424999833106995
0.3,99,rmsprop,16,128,64,256,3,0.5,True,128,10,1.5180792808532715,0.4866666793823242
0.3,99,adam,32,128,128,256,2,0.25,True,128,10,0.9618828296661377,0.6499999761581421
0.3,0,rmsprop,32,128,64,512,3,0.5,False,128,10,0.8149309158325195,0.7233333587646484
0.4,99,adam,32,128,128,256,3,0.5,True,128,10,1.6277859210968018,0.4025000035762787
0.2,99,rmsprop,16,64,64,512,4,0.5,True,128,10,2.0629968643188477,0.38999998569488525
0.3,0,adam,64,64,128,256,4,0.5,True,128,10,2.126765489578247,0.3466666638851166
0.4,99,rmsprop,16,64,128,256,4,0.5,True,128,10,2.21333646774292,0.29249998927116394
