test_size,random_state,optimizer,neuro_4,neuro_3,neuro_2,neuro_1,n_layers,dropout_n,dropout,batch_size,EPOCHS,LOSS,ACCURACY
0.2,0,rmsprop,32,64,128,512,3,0.5,False,32,10,0.8935387134552002,0.699999988079071
0.4,42,rmsprop,64,32,256,256,2,0.25,True,32,10,1.075066328048706,0.6399999856948853
0.3,99,rmsprop,64,64,64,512,3,0.25,False,32,10,1.0247628688812256,0.6333333253860474
0.3,0,adam,16,128,256,128,3,0.5,True,32,10,1.2891318798065186,0.5666666626930237
0.4,0,adam,16,32,256,256,4,0.5,False,32,10,1.2195972204208374,0.625
0.2,42,adam,64,128,256,512,3,0.5,False,32,10,1.0784385204315186,0.6499999761581421
0.4,0,rmsprop,16,64,128,128,3,0.25,True,32,10,1.1332874298095703,0.6100000143051147
0.3,42,rmsprop,16,128,128,256,2,0.25,True,32,10,1.038411259651184,0.6466666460037231
0.2,42,adam,16,32,64,512,3,0.25,True,32,10,1.161085605621338,0.6050000190734863
0.3,0,adam,32,128,256,256,2,0.5,True,32,10,0.9959368109703064,0.6633333563804626
0.2,99,adam,32,64,64,256,3,0.5,True,32,10,1.4653774499893188,0.5099999904632568
0.4,0,rmsprop,64,128,128,512,3,0.25,True,32,10,0.9613845348358154,0.6725000143051147
0.2,0,rmsprop,32,32,128,128,2,0.25,True,32,10,1.001609444618225,0.6499999761581421
0.2,0,rmsprop,16,128,256,128,3,0.25,True,32,10,0.9411048293113708,0.699999988079071
0.3,99,adam,32,128,128,512,2,0.25,True,32,10,1.018996238708496,0.6266666650772095
0.2,0,adam,16,64,128,512,3,0.25,False,32,10,0.7934295535087585,0.7549999952316284
0.3,0,rmsprop,64,128,64,256,4,0.25,True,32,10,1.0523279905319214,0.6499999761581421
0.4,0,adam,16,32,64,512,4,0.25,True,32,10,1.401850938796997,0.5450000166893005
0.2,42,rmsprop,32,64,256,512,2,0.5,False,32,10,1.0200117826461792,0.6499999761581421
0.3,99,adam,64,64,256,128,3,0.25,False,32,10,1.008586049079895,0.6433333158493042
0.4,99,adam,64,32,64,128,2,0.25,False,32,10,1.1000728607177734,0.612500011920929
0.2,0,rmsprop,16,32,128,512,4,0.5,True,32,10,1.8716143369674683,0.4000000059604645
0.2,0,adam,16,32,256,256,3,0.25,False,32,10,0.8359893560409546,0.7099999785423279
0.4,0,adam,64,64,64,128,2,0.5,True,64,10,1.5520775318145752,0.4399999976158142
0.2,0,adam,32,64,64,128,2,0.25,True,64,10,1.1593677997589111,0.6399999856948853
0.4,42,adam,16,32,256,256,3,0.25,True,64,10,1.248661994934082,0.6050000190734863
0.3,0,adam,32,32,64,512,3,0.25,False,64,10,0.9337033033370972,0.6800000071525574
0.2,42,rmsprop,64,64,128,512,2,0.25,False,64,10,1.097243070602417,0.6100000143051147
0.4,99,adam,16,64,256,256,4,0.5,True,64,10,2.0752081871032715,0.35749998688697815
0.2,99,adam,64,128,256,512,2,0.25,True,64,10,0.9504068493843079,0.6349999904632568
0.4,99,rmsprop,16,128,256,256,2,0.25,True,64,10,1.073915958404541,0.6150000095367432
0.4,0,adam,16,32,128,128,3,0.25,True,64,10,1.3381106853485107,0.5299999713897705
0.2,99,rmsprop,16,128,256,256,2,0.5,False,64,10,0.9496127367019653,0.6600000262260437
0.4,42,rmsprop,16,128,64,128,2,0.5,False,64,10,1.2295866012573242,0.5899999737739563
0.2,99,rmsprop,16,64,256,512,4,0.25,True,64,10,1.280099630355835,0.574999988079071
0.3,99,rmsprop,32,64,128,128,4,0.25,True,128,10,1.6171907186508179,0.4533333480358124
0.4,0,adam,32,32,64,512,2,0.25,False,128,10,1.1257704496383667,0.6449999809265137
0.2,99,adam,64,64,128,256,3,0.25,True,128,10,1.241349697113037,0.574999988079071
0.3,42,rmsprop,64,32,64,256,4,0.25,False,128,10,1.1833915710449219,0.5933333039283752
0.3,42,rmsprop,16,64,256,128,2,0.25,False,128,10,1.1481683254241943,0.6433333158493042
0.4,42,rmsprop,64,64,128,128,3,0.5,True,128,10,1.8917607069015503,0.38749998807907104
0.3,0,adam,32,64,256,512,3,0.25,True,128,10,1.0027203559875488,0.6800000071525574
0.4,0,adam,64,128,128,512,4,0.25,True,128,10,1.3047763109207153,0.5199999809265137
0.3,99,rmsprop,16,128,64,256,3,0.5,True,128,10,1.657342553138733,0.3700000047683716
0.3,99,adam,32,128,128,256,2,0.25,True,128,10,1.22490394115448,0.5600000023841858
0.3,0,rmsprop,32,128,64,512,3,0.5,False,128,10,0.9999083280563354,0.6700000166893005
0.4,99,adam,32,128,128,256,3,0.5,True,128,10,1.5947294235229492,0.41999998688697815
0.2,99,rmsprop,16,64,64,512,4,0.5,True,128,10,2.0178706645965576,0.38999998569488525
0.3,0,adam,64,64,128,256,4,0.5,True,128,10,2.030524253845215,0.3400000035762787
0.4,99,rmsprop,16,64,128,256,4,0.5,True,128,10,2.103471279144287,0.3700000047683716
