test_size,random_state,padding,optimizer,n_layers,input_size,dropout_n,dropout,density,batch_size,epochs,loss,accuracy
0.4,42,valid,adam,2,150,0.25,True,512,64,10,1.6812961101531982,0.39500001072883606
0.3,99,same,adam,4,150,0.5,True,512,64,10,2.1796908378601074,0.23333333432674408
0.3,99,valid,rmsprop,2,150,0.5,True,256,32,10,1.5958225727081299,0.4633333384990692
0.3,99,valid,adam,4,150,0.25,False,256,64,10,1.3361729383468628,0.5266666412353516
0.3,42,same,adam,4,150,0.5,False,256,128,10,1.3959513902664185,0.47333332896232605
0.2,0,same,rmsprop,2,150,0.25,True,256,128,10,1.9136059284210205,0.3400000035762787
0.4,42,valid,rmsprop,4,150,0.25,True,512,64,10,1.912216067314148,0.3400000035762787
0.3,0,valid,rmsprop,2,150,0.25,True,512,128,10,1.7488857507705688,0.3499999940395355
0.2,0,valid,rmsprop,3,150,0.25,False,256,128,10,2.1112167835235596,0.2750000059604645
0.4,99,same,rmsprop,3,150,0.5,True,512,128,10,2.263357162475586,0.10249999910593033
0.3,0,same,adam,3,150,0.5,False,512,128,10,1.452385663986206,0.5099999904632568
0.3,99,same,rmsprop,4,150,0.25,False,512,32,10,1.4932104349136353,0.46666666865348816
0.1,42,valid,adam,4,150,0.25,True,256,64,10,1.7635180950164795,0.3199999928474426
0.3,0,valid,adam,2,150,0.5,True,256,64,10,2.077726125717163,0.20000000298023224
0.1,99,same,adam,2,150,0.25,False,512,32,10,1.4258778095245361,0.550000011920929
0.2,99,valid,rmsprop,4,150,0.25,True,256,128,10,1.886688232421875,0.36000001430511475
0.4,0,valid,adam,3,150,0.25,False,512,128,10,1.392052412033081,0.5
0.3,0,same,adam,3,200,0.25,True,512,64,10,1.5725101232528687,0.4933333396911621
0.2,0,valid,rmsprop,3,200,0.25,False,512,64,10,1.5970550775527954,0.4749999940395355
0.2,99,valid,rmsprop,4,200,0.5,True,512,32,10,1.5721015930175781,0.4300000071525574
0.4,42,same,rmsprop,3,200,0.25,False,256,64,10,1.5238064527511597,0.41999998688697815
0.3,99,valid,adam,3,200,0.5,True,512,128,10,2.302610158920288,0.10000000149011612
0.4,99,valid,adam,2,200,0.25,False,512,32,10,1.3678470849990845,0.6299999952316284
0.2,99,same,rmsprop,2,200,0.25,True,256,32,10,1.1284189224243164,0.6050000190734863
0.4,0,valid,rmsprop,2,200,0.25,True,512,32,10,1.2997976541519165,0.5475000143051147
0.1,42,same,rmsprop,3,200,0.5,False,256,32,10,4.184871673583984,0.30000001192092896
0.3,42,valid,adam,3,200,0.25,True,512,128,10,1.845578670501709,0.33666667342185974
0.2,42,same,adam,3,200,0.25,True,512,64,10,1.6810662746429443,0.41499999165534973
0.1,99,valid,adam,2,200,0.25,True,512,128,10,1.8810850381851196,0.3400000035762787
0.2,99,valid,rmsprop,3,200,0.5,False,256,128,10,1.5182348489761353,0.41499999165534973
0.2,0,valid,rmsprop,2,200,0.5,True,256,128,10,2.072979688644409,0.39500001072883606
0.4,42,same,rmsprop,2,200,0.25,False,512,64,10,1.686047077178955,0.45249998569488525
0.3,99,same,adam,3,288,0.25,True,256,128,10,2.2460992336273193,0.25
0.1,99,same,rmsprop,4,288,0.5,True,256,32,10,1.6288188695907593,0.4099999964237213
0.3,99,valid,adam,4,288,0.25,True,512,64,10,1.5255192518234253,0.41999998688697815
0.2,42,valid,adam,4,288,0.5,False,256,32,10,1.2784948348999023,0.550000011920929
0.2,0,valid,adam,3,288,0.5,True,256,32,10,2.3025941848754883,0.10000000149011612
0.4,99,valid,adam,2,288,0.5,False,256,64,10,1.4723541736602783,0.5674999952316284
0.1,0,same,rmsprop,3,288,0.25,False,512,64,10,3.8301596641540527,0.38999998569488525
0.1,99,valid,rmsprop,2,288,0.25,False,256,32,10,1.2849299907684326,0.6000000238418579
0.2,0,valid,rmsprop,3,288,0.5,False,512,32,10,1.640918254852295,0.5550000071525574
0.1,0,same,adam,3,288,0.25,False,512,64,10,1.1339831352233887,0.6600000262260437
0.3,0,same,adam,4,288,0.5,True,512,32,10,2.3026013374328613,0.10000000149011612
0.4,42,valid,rmsprop,2,288,0.25,True,512,32,10,1.9325867891311646,0.4399999976158142
0.2,42,valid,rmsprop,4,288,0.25,False,512,32,10,1.6168934106826782,0.5400000214576721
0.3,0,valid,adam,3,288,0.25,False,256,64,10,1.415664553642273,0.550000011920929
0.3,42,valid,adam,4,288,0.5,True,256,128,10,2.3025927543640137,0.10000000149011612
0.4,42,same,adam,4,288,0.25,False,256,32,10,1.787696361541748,0.46000000834465027
0.2,42,valid,rmsprop,2,288,0.5,False,512,128,10,2.286386489868164,0.32499998807907104
0.2,99,valid,adam,2,288,0.5,False,512,128,10,1.2374546527862549,0.574999988079071
