MFCC_N,K_N,TEST_SIZE,RANDOM_STATE,ACCURACY
1,1,0.1,0,0.56
1,1,0.1,42,0.6
1,1,0.1,99,0.54
1,1,0.2,0,0.57
1,1,0.2,42,0.585
1,1,0.2,99,0.595
1,1,0.3,0,0.5566666666666666
1,1,0.3,42,0.5733333333333334
1,1,0.3,99,0.5666666666666667
1,1,0.4,0,0.5625
1,1,0.4,42,0.57
1,1,0.4,99,0.5875
1,2,0.1,0,0.58
1,2,0.1,42,0.56
1,2,0.1,99,0.55
1,2,0.2,0,0.53
1,2,0.2,42,0.535
1,2,0.2,99,0.59
1,2,0.3,0,0.5633333333333334
1,2,0.3,42,0.52
1,2,0.3,99,0.5133333333333333
1,2,0.4,0,0.555
1,2,0.4,42,0.5175
1,2,0.4,99,0.53
1,3,0.1,0,0.6
1,3,0.1,42,0.59
1,3,0.1,99,0.55
1,3,0.2,0,0.565
1,3,0.2,42,0.59
1,3,0.2,99,0.59
1,3,0.3,0,0.5833333333333334
1,3,0.3,42,0.5666666666666667
1,3,0.3,99,0.5466666666666666
1,3,0.4,0,0.585
1,3,0.4,42,0.5625
1,3,0.4,99,0.5475
1,4,0.1,0,0.6
1,4,0.1,42,0.63
1,4,0.1,99,0.55
1,4,0.2,0,0.59
1,4,0.2,42,0.615
1,4,0.2,99,0.605
1,4,0.3,0,0.61
1,4,0.3,42,0.5766666666666667
1,4,0.3,99,0.56
1,4,0.4,0,0.62
1,4,0.4,42,0.585
1,4,0.4,99,0.5675
1,5,0.1,0,0.59
1,5,0.1,42,0.65
1,5,0.1,99,0.55
1,5,0.2,0,0.605
1,5,0.2,42,0.605
1,5,0.2,99,0.62
1,5,0.3,0,0.6333333333333333
1,5,0.3,42,0.5833333333333334
1,5,0.3,99,0.58
1,5,0.4,0,0.6275
1,5,0.4,42,0.5775
1,5,0.4,99,0.58
1,6,0.1,0,0.64
1,6,0.1,42,0.64
1,6,0.1,99,0.58
1,6,0.2,0,0.595
1,6,0.2,42,0.64
1,6,0.2,99,0.615
1,6,0.3,0,0.61
1,6,0.3,42,0.5966666666666667
1,6,0.3,99,0.5666666666666667
1,6,0.4,0,0.605
1,6,0.4,42,0.575
1,6,0.4,99,0.5925
1,7,0.1,0,0.63
1,7,0.1,42,0.63
1,7,0.1,99,0.57
1,7,0.2,0,0.63
1,7,0.2,42,0.645
1,7,0.2,99,0.605
1,7,0.3,0,0.62
1,7,0.3,42,0.5866666666666667
1,7,0.3,99,0.5733333333333334
1,7,0.4,0,0.6
1,7,0.4,42,0.575
1,7,0.4,99,0.5925
1,8,0.1,0,0.62
1,8,0.1,42,0.66
1,8,0.1,99,0.6
1,8,0.2,0,0.63
1,8,0.2,42,0.645
1,8,0.2,99,0.6
1,8,0.3,0,0.6133333333333333
1,8,0.3,42,0.58
1,8,0.3,99,0.5766666666666667
1,8,0.4,0,0.5925
1,8,0.4,42,0.585
1,8,0.4,99,0.59
1,9,0.1,0,0.59
1,9,0.1,42,0.64
1,9,0.1,99,0.59
1,9,0.2,0,0.605
1,9,0.2,42,0.635
1,9,0.2,99,0.605
1,9,0.3,0,0.6033333333333334
1,9,0.3,42,0.5966666666666667
1,9,0.3,99,0.5566666666666666
1,9,0.4,0,0.58
1,9,0.4,42,0.5875
1,9,0.4,99,0.5675
1,10,0.1,0,0.61
1,10,0.1,42,0.66
1,10,0.1,99,0.6
1,10,0.2,0,0.64
1,10,0.2,42,0.66
1,10,0.2,99,0.615
1,10,0.3,0,0.59
1,10,0.3,42,0.5933333333333334
1,10,0.3,99,0.5533333333333333
1,10,0.4,0,0.59
1,10,0.4,42,0.5775
1,10,0.4,99,0.585
1,11,0.1,0,0.64
1,11,0.1,42,0.65
1,11,0.1,99,0.58
1,11,0.2,0,0.62
1,11,0.2,42,0.62
1,11,0.2,99,0.605
1,11,0.3,0,0.59
1,11,0.3,42,0.6066666666666667
1,11,0.3,99,0.5466666666666666
1,11,0.4,0,0.58
1,11,0.4,42,0.5875
1,11,0.4,99,0.585
1,12,0.1,0,0.62
1,12,0.1,42,0.64
1,12,0.1,99,0.6
1,12,0.2,0,0.595
1,12,0.2,42,0.615
1,12,0.2,99,0.6
1,12,0.3,0,0.5933333333333334
1,12,0.3,42,0.5933333333333334
1,12,0.3,99,0.5433333333333333
1,12,0.4,0,0.5775
1,12,0.4,42,0.57
1,12,0.4,99,0.5625
1,13,0.1,0,0.61
1,13,0.1,42,0.61
1,13,0.1,99,0.59
1,13,0.2,0,0.59
1,13,0.2,42,0.605
1,13,0.2,99,0.565
1,13,0.3,0,0.58
1,13,0.3,42,0.5766666666666667
1,13,0.3,99,0.5433333333333333
1,13,0.4,0,0.5775
1,13,0.4,42,0.5725
1,13,0.4,99,0.565
1,14,0.1,0,0.62
1,14,0.1,42,0.62
1,14,0.1,99,0.56
1,14,0.2,0,0.58
1,14,0.2,42,0.615
1,14,0.2,99,0.56
1,14,0.3,0,0.5733333333333334
1,14,0.3,42,0.5833333333333334
1,14,0.3,99,0.55
1,14,0.4,0,0.565
1,14,0.4,42,0.57
1,14,0.4,99,0.56
1,15,0.1,0,0.61
1,15,0.1,42,0.61
1,15,0.1,99,0.58
1,15,0.2,0,0.59
1,15,0.2,42,0.585
1,15,0.2,99,0.575
1,15,0.3,0,0.57
1,15,0.3,42,0.5566666666666666
1,15,0.3,99,0.5466666666666666
1,15,0.4,0,0.5625
1,15,0.4,42,0.58
1,15,0.4,99,0.555
1,16,0.1,0,0.61
1,16,0.1,42,0.58
1,16,0.1,99,0.59
1,16,0.2,0,0.6
1,16,0.2,42,0.58
1,16,0.2,99,0.585
1,16,0.3,0,0.58
1,16,0.3,42,0.5566666666666666
1,16,0.3,99,0.53
1,16,0.4,0,0.5625
1,16,0.4,42,0.585
1,16,0.4,99,0.555
1,17,0.1,0,0.61
1,17,0.1,42,0.58
1,17,0.1,99,0.58
1,17,0.2,0,0.595
1,17,0.2,42,0.58
1,17,0.2,99,0.57
1,17,0.3,0,0.58
1,17,0.3,42,0.58
1,17,0.3,99,0.5333333333333333
1,17,0.4,0,0.57
1,17,0.4,42,0.5875
1,17,0.4,99,0.54
1,18,0.1,0,0.59
1,18,0.1,42,0.58
1,18,0.1,99,0.55
1,18,0.2,0,0.575
1,18,0.2,42,0.555
1,18,0.2,99,0.565
1,18,0.3,0,0.5766666666666667
1,18,0.3,42,0.57
1,18,0.3,99,0.53
