MFCC_N,K_N,TEST_SIZE,RANDOM_STATE,ACCURACY
1,1,0.1,0,0.45
1,1,0.1,42,0.48
1,1,0.1,99,0.57
1,1,0.2,0,0.43
1,1,0.2,42,0.48
1,1,0.2,99,0.56
1,1,0.3,0,0.4633333333333333
1,1,0.3,42,0.4666666666666667
1,1,0.3,99,0.5233333333333333
1,1,0.4,0,0.46
1,1,0.4,42,0.465
1,1,0.4,99,0.525
1,2,0.1,0,0.45
1,2,0.1,42,0.52
1,2,0.1,99,0.52
1,2,0.2,0,0.475
1,2,0.2,42,0.425
1,2,0.2,99,0.5
1,2,0.3,0,0.47
1,2,0.3,42,0.42333333333333334
1,2,0.3,99,0.47333333333333333
1,2,0.4,0,0.47
1,2,0.4,42,0.44
1,2,0.4,99,0.465
1,3,0.1,0,0.46
1,3,0.1,42,0.46
1,3,0.1,99,0.57
1,3,0.2,0,0.475
1,3,0.2,42,0.42
1,3,0.2,99,0.525
1,3,0.3,0,0.49
1,3,0.3,42,0.42333333333333334
1,3,0.3,99,0.5066666666666667
1,3,0.4,0,0.4825
1,3,0.4,42,0.42
1,3,0.4,99,0.48
1,4,0.1,0,0.5
1,4,0.1,42,0.46
1,4,0.1,99,0.55
1,4,0.2,0,0.495
1,4,0.2,42,0.455
1,4,0.2,99,0.515
1,4,0.3,0,0.5033333333333333
1,4,0.3,42,0.45666666666666667
1,4,0.3,99,0.49
1,4,0.4,0,0.4825
1,4,0.4,42,0.4525
1,4,0.4,99,0.495
1,5,0.1,0,0.5
1,5,0.1,42,0.47
1,5,0.1,99,0.55
1,5,0.2,0,0.465
1,5,0.2,42,0.475
1,5,0.2,99,0.53
1,5,0.3,0,0.47333333333333333
1,5,0.3,42,0.47
1,5,0.3,99,0.49
1,5,0.4,0,0.495
1,5,0.4,42,0.47
1,5,0.4,99,0.485
1,6,0.1,0,0.52
1,6,0.1,42,0.5
1,6,0.1,99,0.53
1,6,0.2,0,0.495
1,6,0.2,42,0.49
1,6,0.2,99,0.54
1,6,0.3,0,0.49333333333333335
1,6,0.3,42,0.47
1,6,0.3,99,0.49333333333333335
1,6,0.4,0,0.47
1,6,0.4,42,0.4925
1,6,0.4,99,0.4825
1,7,0.1,0,0.5
1,7,0.1,42,0.46
1,7,0.1,99,0.57
1,7,0.2,0,0.51
1,7,0.2,42,0.47
1,7,0.2,99,0.54
1,7,0.3,0,0.5
1,7,0.3,42,0.45666666666666667
1,7,0.3,99,0.48333333333333334
1,7,0.4,0,0.485
1,7,0.4,42,0.4975
1,7,0.4,99,0.4925
1,8,0.1,0,0.51
1,8,0.1,42,0.44
1,8,0.1,99,0.54
1,8,0.2,0,0.485
1,8,0.2,42,0.48
1,8,0.2,99,0.54
1,8,0.3,0,0.48333333333333334
1,8,0.3,42,0.4666666666666667
1,8,0.3,99,0.47333333333333333
1,8,0.4,0,0.465
1,8,0.4,42,0.495
1,8,0.4,99,0.5
1,9,0.1,0,0.52
1,9,0.1,42,0.46
1,9,0.1,99,0.56
1,9,0.2,0,0.505
1,9,0.2,42,0.46
1,9,0.2,99,0.51
1,9,0.3,0,0.47333333333333333
1,9,0.3,42,0.4533333333333333
1,9,0.3,99,0.49666666666666665
1,9,0.4,0,0.4725
1,9,0.4,42,0.49
1,9,0.4,99,0.4925
1,10,0.1,0,0.53
1,10,0.1,42,0.49
1,10,0.1,99,0.55
1,10,0.2,0,0.51
1,10,0.2,42,0.47
1,10,0.2,99,0.515
1,10,0.3,0,0.48333333333333334
1,10,0.3,42,0.47
1,10,0.3,99,0.5066666666666667
1,10,0.4,0,0.47
1,10,0.4,42,0.4925
1,10,0.4,99,0.5025
1,11,0.1,0,0.54
1,11,0.1,42,0.52
1,11,0.1,99,0.55
1,11,0.2,0,0.495
1,11,0.2,42,0.48
1,11,0.2,99,0.52
1,11,0.3,0,0.4866666666666667
1,11,0.3,42,0.47333333333333333
1,11,0.3,99,0.5
1,11,0.4,0,0.485
1,11,0.4,42,0.49
1,11,0.4,99,0.495
1,12,0.1,0,0.52
1,12,0.1,42,0.49
1,12,0.1,99,0.54
1,12,0.2,0,0.49
1,12,0.2,42,0.495
1,12,0.2,99,0.535
1,12,0.3,0,0.48333333333333334
1,12,0.3,42,0.47333333333333333
1,12,0.3,99,0.49333333333333335
1,12,0.4,0,0.4775
1,12,0.4,42,0.48
1,12,0.4,99,0.5
1,13,0.1,0,0.5
1,13,0.1,42,0.51
1,13,0.1,99,0.55
1,13,0.2,0,0.505
1,13,0.2,42,0.475
1,13,0.2,99,0.545
1,13,0.3,0,0.49666666666666665
1,13,0.3,42,0.4766666666666667
1,13,0.3,99,0.48333333333333334
1,13,0.4,0,0.49
1,13,0.4,42,0.49
1,13,0.4,99,0.4875
1,14,0.1,0,0.48
1,14,0.1,42,0.5
1,14,0.1,99,0.53
1,14,0.2,0,0.52
1,14,0.2,42,0.48
1,14,0.2,99,0.535
1,14,0.3,0,0.4866666666666667
1,14,0.3,42,0.48
1,14,0.3,99,0.4866666666666667
1,14,0.4,0,0.4925
1,14,0.4,42,0.475
1,14,0.4,99,0.4875
1,15,0.1,0,0.45
1,15,0.1,42,0.51
1,15,0.1,99,0.53
1,15,0.2,0,0.5
1,15,0.2,42,0.485
1,15,0.2,99,0.535
1,15,0.3,0,0.49666666666666665
1,15,0.3,42,0.48333333333333334
