n_mfcc,test_size,kernel,C,gamma,accuracy
13,0.2,linear,0.1,,0.725
13,0.2,linear,1.0,,0.685
13,0.2,linear,10.0,,0.685
13,0.2,linear,100.0,,0.715
13,0.2,rbf,0.1,scale,0.56
13,0.2,rbf,0.1,0.01,0.535
13,0.2,rbf,0.1,0.1,0.47
13,0.2,rbf,0.1,1,0.15
13,0.2,rbf,1.0,scale,0.76
13,0.2,rbf,1.0,0.01,0.69
13,0.2,rbf,1.0,0.1,0.725
13,0.2,rbf,1.0,1,0.23
13,0.2,rbf,10.0,scale,0.77
13,0.2,rbf,10.0,0.01,0.74
13,0.2,rbf,10.0,0.1,0.725
13,0.2,rbf,10.0,1,0.24
13,0.2,rbf,100.0,scale,0.76
13,0.2,rbf,100.0,0.01,0.72
13,0.2,rbf,100.0,0.1,0.725
13,0.2,rbf,100.0,1,0.24
13,0.3,linear,0.1,,0.7366666666666667
13,0.3,linear,1.0,,0.6833333333333333
13,0.3,linear,10.0,,0.6766666666666666
13,0.3,linear,100.0,,0.6833333333333333
13,0.3,rbf,0.1,scale,0.5666666666666667
13,0.3,rbf,0.1,0.01,0.5266666666666666
13,0.3,rbf,0.1,0.1,0.45
13,0.3,rbf,0.1,1,0.15
13,0.3,rbf,1.0,scale,0.7366666666666667
13,0.3,rbf,1.0,0.01,0.68
13,0.3,rbf,1.0,0.1,0.7066666666666667
13,0.3,rbf,1.0,1,0.21333333333333335
13,0.3,rbf,10.0,scale,0.7566666666666667
13,0.3,rbf,10.0,0.01,0.7666666666666667
13,0.3,rbf,10.0,0.1,0.7133333333333334
13,0.3,rbf,10.0,1,0.23
13,0.3,rbf,100.0,scale,0.7466666666666667
13,0.3,rbf,100.0,0.01,0.73
13,0.3,rbf,100.0,0.1,0.7133333333333334
13,0.3,rbf,100.0,1,0.23
13,0.4,linear,0.1,,0.7175
13,0.4,linear,1.0,,0.7125
13,0.4,linear,10.0,,0.6825
13,0.4,linear,100.0,,0.6875
13,0.4,rbf,0.1,scale,0.5325
13,0.4,rbf,0.1,0.01,0.485
13,0.4,rbf,0.1,0.1,0.4675
13,0.4,rbf,0.1,1,0.1375
13,0.4,rbf,1.0,scale,0.705
13,0.4,rbf,1.0,0.01,0.6575
13,0.4,rbf,1.0,0.1,0.7
13,0.4,rbf,1.0,1,0.2025
13,0.4,rbf,10.0,scale,0.74
13,0.4,rbf,10.0,0.01,0.755
13,0.4,rbf,10.0,0.1,0.7075
13,0.4,rbf,10.0,1,0.2175
13,0.4,rbf,100.0,scale,0.7275
13,0.4,rbf,100.0,0.01,0.7325
13,0.4,rbf,100.0,0.1,0.7075
13,0.4,rbf,100.0,1,0.2175
20,0.2,linear,0.1,,0.72
20,0.2,linear,1.0,,0.68
20,0.2,linear,10.0,,0.66
20,0.2,linear,100.0,,0.67
20,0.2,rbf,0.1,scale,0.56
20,0.2,rbf,0.1,0.01,0.54
20,0.2,rbf,0.1,0.1,0.445
20,0.2,rbf,0.1,1,0.13
20,0.2,rbf,1.0,scale,0.735
20,0.2,rbf,1.0,0.01,0.72
20,0.2,rbf,1.0,0.1,0.665
20,0.2,rbf,1.0,1,0.205
20,0.2,rbf,10.0,scale,0.765
20,0.2,rbf,10.0,0.01,0.755
20,0.2,rbf,10.0,0.1,0.675
20,0.2,rbf,10.0,1,0.21
20,0.2,rbf,100.0,scale,0.76
20,0.2,rbf,100.0,0.01,0.755
20,0.2,rbf,100.0,0.1,0.675
20,0.2,rbf,100.0,1,0.21
20,0.3,linear,0.1,,0.75
20,0.3,linear,1.0,,0.6733333333333333
20,0.3,linear,10.0,,0.67
20,0.3,linear,100.0,,0.6666666666666666
20,0.3,rbf,0.1,scale,0.5566666666666666
20,0.3,rbf,0.1,0.01,0.5433333333333333
20,0.3,rbf,0.1,0.1,0.38666666666666666
20,0.3,rbf,0.1,1,0.13666666666666666
20,0.3,rbf,1.0,scale,0.7333333333333333
20,0.3,rbf,1.0,0.01,0.7166666666666667
20,0.3,rbf,1.0,0.1,0.66
20,0.3,rbf,1.0,1,0.19666666666666666
20,0.3,rbf,10.0,scale,0.74
20,0.3,rbf,10.0,0.01,0.75
20,0.3,rbf,10.0,0.1,0.6733333333333333
20,0.3,rbf,10.0,1,0.20333333333333334
20,0.3,rbf,100.0,scale,0.7433333333333333
20,0.3,rbf,100.0,0.01,0.7333333333333333
20,0.3,rbf,100.0,0.1,0.6733333333333333
20,0.3,rbf,100.0,1,0.20333333333333334
20,0.4,linear,0.1,,0.735
20,0.4,linear,1.0,,0.69
20,0.4,linear,10.0,,0.6825
20,0.4,linear,100.0,,0.6825
20,0.4,rbf,0.1,scale,0.535
20,0.4,rbf,0.1,0.01,0.535
20,0.4,rbf,0.1,0.1,0.4275
20,0.4,rbf,0.1,1,0.13
20,0.4,rbf,1.0,scale,0.7025
20,0.4,rbf,1.0,0.01,0.6775
20,0.4,rbf,1.0,0.1,0.645
20,0.4,rbf,1.0,1,0.18
20,0.4,rbf,10.0,scale,0.7425
20,0.4,rbf,10.0,0.01,0.7375
20,0.4,rbf,10.0,0.1,0.6575
20,0.4,rbf,10.0,1,0.1875
20,0.4,rbf,100.0,scale,0.7375
20,0.4,rbf,100.0,0.01,0.725
20,0.4,rbf,100.0,0.1,0.6575
20,0.4,rbf,100.0,1,0.1875
