n_mfcc,test_size,kernel,C,gamma,accuracy
13,0.2,linear,0.1,,0.58
13,0.2,linear,1.0,,0.62
13,0.2,linear,10.0,,0.615
13,0.2,linear,100.0,,0.605
13,0.2,rbf,0.1,scale,0.495
13,0.2,rbf,0.1,0.01,0.38
13,0.2,rbf,0.1,0.1,0.49
13,0.2,rbf,0.1,1,0.275
13,0.2,rbf,1.0,scale,0.615
13,0.2,rbf,1.0,0.01,0.545
13,0.2,rbf,1.0,0.1,0.65
13,0.2,rbf,1.0,1,0.415
13,0.2,rbf,10.0,scale,0.665
13,0.2,rbf,10.0,0.01,0.645
13,0.2,rbf,10.0,0.1,0.655
13,0.2,rbf,10.0,1,0.435
13,0.2,rbf,100.0,scale,0.63
13,0.2,rbf,100.0,0.01,0.635
13,0.2,rbf,100.0,0.1,0.63
13,0.2,rbf,100.0,1,0.435
13,0.3,linear,0.1,,0.6033333333333334
13,0.3,linear,1.0,,0.6433333333333333
13,0.3,linear,10.0,,0.5933333333333334
13,0.3,linear,100.0,,0.5933333333333334
13,0.3,rbf,0.1,scale,0.46
13,0.3,rbf,0.1,0.01,0.36666666666666664
13,0.3,rbf,0.1,0.1,0.51
13,0.3,rbf,0.1,1,0.29333333333333333
13,0.3,rbf,1.0,scale,0.6133333333333333
13,0.3,rbf,1.0,0.01,0.5433333333333333
13,0.3,rbf,1.0,0.1,0.6366666666666667
13,0.3,rbf,1.0,1,0.44666666666666666
13,0.3,rbf,10.0,scale,0.6666666666666666
13,0.3,rbf,10.0,0.01,0.6466666666666666
13,0.3,rbf,10.0,0.1,0.64
13,0.3,rbf,10.0,1,0.4633333333333333
13,0.3,rbf,100.0,scale,0.64
13,0.3,rbf,100.0,0.01,0.6366666666666667
13,0.3,rbf,100.0,0.1,0.6433333333333333
13,0.3,rbf,100.0,1,0.4633333333333333
13,0.4,linear,0.1,,0.5825
13,0.4,linear,1.0,,0.615
13,0.4,linear,10.0,,0.61
13,0.4,linear,100.0,,0.61
13,0.4,rbf,0.1,scale,0.4525
13,0.4,rbf,0.1,0.01,0.37
13,0.4,rbf,0.1,0.1,0.5175
13,0.4,rbf,0.1,1,0.23
13,0.4,rbf,1.0,scale,0.605
13,0.4,rbf,1.0,0.01,0.5225
13,0.4,rbf,1.0,0.1,0.6375
13,0.4,rbf,1.0,1,0.455
13,0.4,rbf,10.0,scale,0.645
13,0.4,rbf,10.0,0.01,0.6375
13,0.4,rbf,10.0,0.1,0.6075
13,0.4,rbf,10.0,1,0.4625
13,0.4,rbf,100.0,scale,0.625
13,0.4,rbf,100.0,0.01,0.6275
13,0.4,rbf,100.0,0.1,0.6175
13,0.4,rbf,100.0,1,0.4625
20,0.2,linear,0.1,,0.65
20,0.2,linear,1.0,,0.645
20,0.2,linear,10.0,,0.62
20,0.2,linear,100.0,,0.64
20,0.2,rbf,0.1,scale,0.49
20,0.2,rbf,0.1,0.01,0.42
20,0.2,rbf,0.1,0.1,0.5
20,0.2,rbf,0.1,1,0.16
20,0.2,rbf,1.0,scale,0.655
20,0.2,rbf,1.0,0.01,0.61
20,0.2,rbf,1.0,0.1,0.665
20,0.2,rbf,1.0,1,0.31
20,0.2,rbf,10.0,scale,0.68
20,0.2,rbf,10.0,0.01,0.68
20,0.2,rbf,10.0,0.1,0.675
20,0.2,rbf,10.0,1,0.32
20,0.2,rbf,100.0,scale,0.665
20,0.2,rbf,100.0,0.01,0.675
20,0.2,rbf,100.0,0.1,0.675
20,0.2,rbf,100.0,1,0.32
20,0.3,linear,0.1,,0.63
20,0.3,linear,1.0,,0.6333333333333333
20,0.3,linear,10.0,,0.5933333333333334
20,0.3,linear,100.0,,0.5866666666666667
20,0.3,rbf,0.1,scale,0.48333333333333334
20,0.3,rbf,0.1,0.01,0.41333333333333333
20,0.3,rbf,0.1,0.1,0.49333333333333335
20,0.3,rbf,0.1,1,0.17333333333333334
20,0.3,rbf,1.0,scale,0.6633333333333333
20,0.3,rbf,1.0,0.01,0.6033333333333334
20,0.3,rbf,1.0,0.1,0.6633333333333333
20,0.3,rbf,1.0,1,0.33
20,0.3,rbf,10.0,scale,0.66
20,0.3,rbf,10.0,0.01,0.67
20,0.3,rbf,10.0,0.1,0.67
20,0.3,rbf,10.0,1,0.3466666666666667
20,0.3,rbf,100.0,scale,0.6666666666666666
20,0.3,rbf,100.0,0.01,0.6566666666666666
20,0.3,rbf,100.0,0.1,0.67
20,0.3,rbf,100.0,1,0.3466666666666667
20,0.4,linear,0.1,,0.6025
20,0.4,linear,1.0,,0.64
20,0.4,linear,10.0,,0.5975
20,0.4,linear,100.0,,0.595
20,0.4,rbf,0.1,scale,0.4775
20,0.4,rbf,0.1,0.01,0.395
20,0.4,rbf,0.1,0.1,0.505
20,0.4,rbf,0.1,1,0.1425
20,0.4,rbf,1.0,scale,0.645
20,0.4,rbf,1.0,0.01,0.5625
20,0.4,rbf,1.0,0.1,0.66
20,0.4,rbf,1.0,1,0.2625
20,0.4,rbf,10.0,scale,0.65
20,0.4,rbf,10.0,0.01,0.655
20,0.4,rbf,10.0,0.1,0.655
20,0.4,rbf,10.0,1,0.2975
20,0.4,rbf,100.0,scale,0.6575
20,0.4,rbf,100.0,0.01,0.6225
20,0.4,rbf,100.0,0.1,0.655
20,0.4,rbf,100.0,1,0.2975
