trial_id,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,best_round,cv_logloss_mean,cv_logloss_std,cv_accuracy_mean,cv_accuracy_std
0,0.6872700594236812,3.6010467344475403,0.06504856968981275,6,5,202,0.00010291881465670109,0.002802849769496466,0.7296244459829335,110,0.6350298263420214,0.02374419396664571,0.8213222281447807,0.012377164568157281
1,0.6668543055695109,1.931084870540406e-07,0.040957144541603416,6,2,443,0.31044435499483225,0.00892622738184373,0.5909124836035503,443,0.3437490884395681,0.018031054905349134,0.890639409330456,0.00674006453906048
2,0.5917022549267169,5.472429642032198e-06,0.0199473547030745,5,9,148,0.0005284111125757584,0.061691603037343404,0.5233328316068078,148,0.9263343563823995,0.017805985363906474,0.7746514756954637,0.010134557891302656
3,0.9868777594207296,1.2443486010325558e-06,0.0016766527469302226,7,3,463,0.00042472707398058225,0.4490677404109781,0.5232252063599989,463,1.4455189246396025,0.014516969064231394,0.7790288204220254,0.009916445788473538
4,0.8037724259507192,3.425445902633376e-07,0.0014492412389916862,5,9,415,0.0011737996092661858,0.05315650460410773,0.5079831261101071,390,1.695208232740103,0.010615255778982875,0.7103363256603588,0.013632772376210729
5,0.6154469128110744,1.476485527035526e-06,0.04926364988526881,5,13,363,2.039373116525212e-08,11.779794101330705,0.6293899908000085,363,0.481007039058447,0.01763800917287296,0.8534780420491217,0.002803589872191516
6,0.831261142176991,6.388511557344611e-06,0.01942099825171803,3,4,409,1.9134610757932285e-08,5.90216120103914,0.7248770666848828,409,0.7687176959570738,0.02105217394896109,0.7718988166101937,0.011134993345001863
7,0.6975751180009072,2.1874079799487576,0.06332000185282426,8,8,561,5.805581976088804e-07,0.001593999043568401,0.6626651653816322,164,0.533951698895229,0.018261500115848848,0.8463465510750227,0.008387926626034097
8,0.6943386448447411,2.7678419414850017e-06,0.11294923622078903,3,9,351,0.0029060844403562135,0.017206074702554055,0.6481367528520412,351,0.4123085797982209,0.017442342849696986,0.8659902426500918,0.007411111933098242
9,0.5826334695315012,1.382699037945253e-08,0.011189657849413852,2,12,235,1.1212412169964432e-08,4.476305242680426,0.8534286719238086,235,1.3733017700760282,0.016733502182741087,0.6184950544027439,0.018701023045700198
10,0.8645035840204937,0.08738424135626986,0.00152551885793314,8,10,140,1.716473409066866,6.393310307063141,0.7247253370691017,140,2.025969923260757,0.0062863473383329305,0.6976970118213746,0.016014101841657163
11,0.5477050582452057,2.17452432291623e-05,0.04537335394667876,6,3,271,0.005470376807480391,9.37905380401463,0.7361074625809747,271,0.455426510022349,0.019159883936406347,0.8669921203881337,0.005011222975722544
12,0.5597971229691509,0.02625445968759339,0.07665788170871725,3,7,354,2.0165774425168896e-06,0.001517141482146489,0.8553314448428937,354,0.46364432363206926,0.02007074982573692,0.8556050754500035,0.0087372364298118
13,0.5554454104059157,8.995566465852161e-05,0.0031599697383525734,9,7,340,6.748446817464346e-06,0.18920501825415298,0.9537832369630466,340,1.267691136976494,0.01511085758779786,0.8119379211506565,0.00815808117825144
14,0.6246461145744375,4.9368087974032924e-05,0.07440322909623881,5,13,259,0.002453517717010258,1.2901386652687716,0.9402339195076288,259,0.4139596204784234,0.01749939982830412,0.8701200139949796,0.00872296791015229
15,0.8121770240668966,4.578288672385767e-06,0.001825248807094868,5,12,207,4.776728196949699e-07,9.910483966084707,0.7696711209578253,85,2.1095512670160854,0.004006868202062062,0.6634140079727552,0.01869762354565223
16,0.9037200775820313,1.16097187606918,0.0061338502201741816,2,1,476,0.006748559555809631,0.001005378956729769,0.6762844281670846,476,1.3029026286125174,0.018993695948528108,0.633635853447203,0.016469169352524102
17,0.6523906290790145,3.033211391057483e-07,0.02103799040280046,7,5,324,1.1989147575590843e-07,0.03247461864697117,0.9714548519562596,324,0.4805074184592081,0.018633404034639815,0.860609846110014,0.008410102593447046
18,0.6616014660103776,0.0004667836070663388,0.05513954848805309,2,14,596,1.928584737076551e-06,0.012743656837267761,0.8481521364198942,596,0.5872716813431968,0.0177409474188664,0.8155664405397303,0.008351447490097724
19,0.856135294962221,2.1517032190107035e-07,0.29615847301836046,4,1,101,0.0003342806277473177,0.0017001083930806495,0.6393232321183058,101,0.36533492204545875,0.014450848255645563,0.8813808849554752,0.004753943204789501
20,0.9541329429833268,1.4323759352560882e-06,0.0022851892235553474,5,10,259,0.0009463195268496258,0.4503758554986515,0.5404266631663577,259,1.6790785827171226,0.011509669437849122,0.7002011582645912,0.014705823664360379
21,0.6848272280307022,1.5116089146878039e-06,0.09760556079350484,6,4,197,0.005032310118297565,0.2504541462577912,0.5451448850272042,197,0.3626869792590691,0.018420625939706867,0.8838827615194416,0.006857126662100696
22,0.917651247794619,7.709400093120135e-06,0.0028975368407468498,6,3,247,8.582822811754835e-06,0.009683801423947556,0.855574766219009,247,1.4881137226143815,0.012717828619691042,0.7646385686924164,0.011083153534975968
23,0.9047505230698577,1.3740226301938833e-05,0.0017307764564676925,2,1,523,3.024252976134463e-05,15.626213095342772,0.5687604720729966,141,2.1119880224115746,0.004451183104544261,0.5163925200434252,0.02050902588905979
24,0.6705331755251293,1.050175037995661e-07,0.19524423350212713,7,10,198,1.1401190340140422e-06,0.006071477958471642,0.9910841716647179,198,0.34974312100637706,0.013913137216740534,0.8828825274870636,0.004877985048205846
25,0.7583179456355071,2.225679232473883e-06,0.29365757950446286,7,12,552,1.2698795062871437,0.6830806621753385,0.6695148955243504,174,0.3929001351247828,0.01574978257338306,0.8689936059849671,0.004635630347739504
26,0.6746047873063304,0.03416654859330391,0.16682106627319299,9,6,219,0.9770817213609811,6.45223006109561,0.9678174971104738,155,0.3807535206903605,0.019944200634540696,0.8761247056005749,0.007634706866171024
27,0.8926703255569718,0.010492870003991251,0.02744297388220333,9,14,572,0.009365175535873002,0.0010535649755588846,0.5804040257087493,572,0.42126089498567704,0.017771864195370073,0.8662413382581886,0.00786817752153854
28,0.7743668946832931,0.01686773538090171,0.04120852721203149,2,4,260,1.4543812687035209e-08,0.16263800928161543,0.5894113546106644,260,0.8348453121043754,0.02011850608692012,0.7464984764413929,0.013425873346001933
29,0.6832343922914299,0.04983502810350691,0.06107389382483698,9,1,275,6.967434753443191e-08,0.044290260796914005,0.6326011838408627,275,0.3274832594471871,0.021892830606927326,0.8970212139783861,0.008232051450133362
30,0.6219948216895418,5.716036492601785,0.009413491373461895,7,8,382,8.11987398985281e-05,0.03692695353263881,0.8225516810152824,382,0.8332766151006284,0.01832270284838401,0.7892900835237292,0.00846775312339302
31,0.8344620298315498,0.5991120927108871,0.003717036455046942,9,3,103,1.6551741608613844e-08,0.7759928779676626,0.5885553397035245,103,1.7501850505613135,0.009327262752352808,0.7852856251677949,0.007936277287327653
32,0.9702292921764571,3.8490822633646453,0.18459928994811223,4,12,332,3.7813477875563253,0.030255840291883586,0.776382483417745,98,0.7268139641261616,0.02044908349720331,0.7761521789666727,0.008580235648587752
33,0.7861462345854191,6.652490353085203,0.0015368865581893484,6,5,515,0.4573303711170018,0.026236037644516635,0.5847463733430462,77,2.1113402011600617,0.0038997526400745613,0.7144664100920397,0.012650765140580842
34,0.7784006312291751,2.663133682430129,0.05298466627430952,9,14,379,7.590466336756462e-07,1.0110925354201408,0.679323390648082,234,0.5690051291514684,0.02041254829475366,0.8290801275202508,0.009660793470929744
35,0.6270818245348694,4.5458520370886246e-06,0.00629502347255512,9,1,492,0.021006647887921025,0.04068979239328833,0.6467959221322467,210,1.0978610347790603,0.015309479581467613,0.8478480370632145,0.005292965126482306
36,0.9046805777392568,0.19544319431466992,0.14055401945355062,6,12,490,0.000326322223997746,3.750285349198226,0.8249819653888826,181,0.3827972625993504,0.013601249192825508,0.8744993155139985,0.003010942821997424
37,0.8509834386288517,0.14525598138964968,0.16019580864213423,8,12,453,7.011928170388231e-08,0.3881774568655705,0.517971136898371,206,0.39681244073966704,0.016758812760573533,0.8682422759531341,0.005371089830287889
38,0.7327990090662301,0.0007652471350809116,0.005126222187253493,3,10,441,1.7875666543536039e-06,0.0014923401208253462,0.6516327573366114,441,1.2370079496757145,0.018821137113623602,0.6840596555575645,0.012789672994185184
39,0.7685412135983277,8.706852277189221e-06,0.11239109576115039,5,12,207,0.00403658667619465,0.002410521167810011,0.5258408605843039,207,0.41594228968670405,0.01826941970374342,0.8621130540755682,0.005609516690346152
40,0.7656773157840739,0.0007340338611651199,0.037930726187668136,5,13,469,0.00044330551549072065,0.0279199919899146,0.8975930973843518,469,0.414994028044684,0.017563013328221133,0.8706200136036212,0.006881664414440603
41,0.6354161256310371,8.927765745601032e-05,0.0015643933810778677,6,10,216,5.343880028527086e-08,0.08272101210740913,0.8442499503826832,216,1.8545445918293955,0.007411039656481575,0.7379879164152189,0.008753529752936256
42,0.5290967977542218,1.7255341095344274,0.01246694691815194,9,14,217,0.0269999714107099,0.9031995397557581,0.6399669484729714,217,0.9283596121715153,0.019632897202020196,0.787913675709396,0.00884437545727214
43,0.977432640331597,0.043759489843010535,0.023615775201572906,7,13,346,2.6880983186312132e-08,0.3421505370897252,0.5793232238212456,346,0.5215352380586132,0.01885762646359239,0.843969204783027,0.009077876313057603
44,0.5600823239028211,1.1937599389838553e-05,0.0016880970739366217,8,1,193,0.5002018067635705,1.4137139981958635,0.7370869145436626,84,2.061849958000379,0.003966531760138972,0.8004261111254609,0.004600472295780509
45,0.5489170803255008,0.0002657925942352368,0.014888364300159954,2,14,321,0.007046332680293073,0.0016412155797932318,0.9745728657956929,321,1.1447771135200904,0.020464736110324823,0.666292606220565,0.01623316911204396
46,0.9433401936490238,2.22865379917726e-06,0.0010912171980846832,4,10,195,0.510985493128338,0.8893060737814291,0.5814672135407148,36,2.2446834322564593,0.001052182455340608,0.6268771705720331,0.014699777730150502
47,0.5352843737002149,0.0060502525566875276,0.0011632464366273746,9,11,439,0.001511010912721949,0.05468696567461758,0.8216441092211766,142,2.045423087526943,0.004561033692902182,0.7513773862105618,0.008741289047714668
48,0.7291264452457583,0.0008138626231308923,0.21484363335492535,4,1,516,0.007300673841587529,0.008420753231407164,0.6369805636605669,183,0.33716865216429187,0.01601873454804673,0.8921417563073292,0.00531164678147734
49,0.607294559854187,2.4850306467131604e-05,0.001248867613123264,3,3,314,4.3721780152874547e-08,0.02679739476679992,0.9224376554847273,42,2.2358954846310937,0.0009437083103197595,0.6093623126469062,0.013134324836341069
50,0.511635967867913,0.21390273781908226,0.004991010153018044,5,10,213,0.004575995840498729,8.482983107673709,0.8675355219019429,213,1.4858061092319135,0.013114397658265544,0.7217221965230146,0.00868411381241017
51,0.9017404651924243,3.4539110844500054e-06,0.0027513083443503725,2,8,291,0.0015251802657665575,1.886582129143319,0.5638448647112329,291,1.7946105999947164,0.011083449210760175,0.5634391331879045,0.018385926227054556
52,0.6250082246080524,0.0016784024743330384,0.1405895296702052,9,5,367,7.260160911958054e-05,2.300068748470742,0.8772714370423411,263,0.3318399544237394,0.013549897380283943,0.8908910528404408,0.005195544501894254
53,0.5515619344179663,1.3273215945860712,0.017847253435850603,9,9,441,4.772177300075398e-06,0.0028031379007579338,0.5267426483736845,441,0.5187912158762774,0.018326544289315665,0.8511010871156175,0.006656725949784653
54,0.9792707484415992,0.42100601124379927,0.007570824706158706,5,14,322,3.5930587834138925,0.3692758931133953,0.8159186060848996,322,1.062799343250565,0.02028286837451647,0.737110412405751,0.011283407030969564
55,0.7242227609891598,4.3540854235085346e-06,0.00651841386381344,4,5,583,3.279071495408098,3.1474377818971684,0.556732301008724,583,0.9482955911203398,0.019959287111187492,0.7462469112031065,0.00932375964850423
